Parameter,Value
Length (mm),8.7
Generation,6
Best Fitness,0.408300420509956
Genome,"[2, 2, 0, 0, 0, 0, 0, 2, 2, 2, 2, 2, 0, 1, 1, 1, 3, 2, 2, 2, 0, 1, 0, 1, 2, 2, 2, 2, 2]"
Source TM CSV,/mnt/c/Users/Traveler/PycharmProjects/GA_based_Geometry_Optimization_for_Surface_Wave_Reflection/GA_SW_suppression_TM/8_7mm/optimization_results_8_7mm/best_gen_6.csv
Source TM Generation,6
Source TM Fitness,0.8000470009277248
Source TM MTime,1773333378.689940

Frequency,T,R,L
0.055,0.1791836849130823,0.049459868430113255,0.7713564466568044
0.05550505050505051,0.16688910549805908,0.043678717493201825,0.7894321770087391
0.05601010101010101,0.15319927689968793,0.042374985898505566,0.8044257372018065
0.05651515151515152,0.14784702565800287,0.052507837459050063,0.799645136882947
0.05702020202020202,0.1388242265007396,0.053726195679365964,0.8074495778198945
0.05752525252525253,0.12772599287095768,0.05361537623021751,0.8186586308988248
0.05803030303030303,0.1203405348932871,0.06031240310175346,0.8193470620049594
0.05853535353535354,0.11255368511190068,0.06428839394303029,0.823157920945069
0.05904040404040404,0.10357050300742321,0.06588667491862987,0.8305428220739469
0.05954545454545455,0.09620988063959893,0.07091947375070227,0.8328706456096988
0.06005050505050505,0.08938206583052298,0.07587348498186644,0.8347444491876106
0.06055555555555556,0.08216616576437843,0.07901494497605877,0.8388188892595628
0.061060606060606065,0.07572942609266375,0.08357400570677032,0.8406965682005659
0.06156565656565657,0.06995404601741921,0.08889235714917944,0.8411535968334014
0.062070707070707075,0.06424143878056145,0.09322692371400647,0.8425316375054321
0.06257575757575758,0.05898758370009616,0.09795122445890081,0.843061191841003
0.06308080808080808,0.05430096363131992,0.10347452790693763,0.8422245084617425
0.06358585858585859,0.04986425987471335,0.10865939922384314,0.8414763409014435
0.06409090909090909,0.04575995733152476,0.11382785861622237,0.8404121840522529
0.0645959595959596,0.042094935283698,0.11958226373120937,0.8383228009850926
0.0651010101010101,0.038718984429282934,0.12539241203858895,0.8358886035321281
0.06560606060606061,0.03560727165105047,0.13112076978771636,0.8332719585612332
0.06611111111111112,0.03282061519031283,0.13721838688951843,0.8299609979201688
0.06661616161616161,0.03029352144308989,0.14356770462191384,0.8261387739349962
0.06712121212121212,0.02797753580382789,0.1499228457382186,0.8220996184579535
0.06762626262626263,0.02589606059323987,0.1565128188093987,0.8175911205973614
0.06813131313131314,0.024022686446033784,0.16342754845925564,0.8125497650947106
0.06863636363636363,0.02231411534083571,0.17047913284292607,0.8072067518162382
0.06914141414141414,0.020772242875895332,0.17772195835085736,0.8015057987732473
0.06964646464646465,0.019387393487124666,0.18530390458856885,0.7953087019243065
0.07015151515151516,0.018128344722254143,0.19314395016786398,0.7887277051098819
0.07065656565656567,0.01698721719142758,0.20120137409195574,0.7818114087166167
0.07116161616161616,0.01596075367140827,0.20959729746410796,0.7744419488644838
0.07166666666666667,0.015028930931220874,0.21834359072723447,0.7666274783415448
0.07217171717171718,0.01418074749010297,0.22737490796469176,0.7584443445452053
0.07267676767676767,0.01341480316647072,0.23675323552188055,0.7498319613116488
0.07318181818181818,0.012719434440028468,0.2465433498592605,0.740737215700711
0.07368686868686869,0.01208379846129356,0.25670085509932605,0.7312153464393804
0.0741919191919192,0.011506492999801662,0.2672306813108756,0.7212628256893228
0.0746969696969697,0.01098148068722065,0.27820684199329976,0.7108116773194797
0.07520202020202021,0.010499484678230201,0.2896239544856323,0.6998765608361375
0.07570707070707071,0.01005842298679439,0.3014500424298762,0.6884915345833293
0.07621212121212122,0.009655720109979362,0.31373322513177965,0.6766110547582409
0.07671717171717173,0.009284138699783243,0.32650115937330493,0.6642147019269118
0.07722222222222222,0.008940796057214486,0.33970992487478335,0.6513492790680021
0.07772727272727273,0.008625021608197376,0.35336120470921406,0.6380137736825886
0.07823232323232324,0.00833167563529366,0.3674922520681225,0.6241760722965838
0.07873737373737374,0.00805721053624624,0.38206672842483774,0.609876061038916
0.07924242424242425,0.007801763207843389,0.39703595260449304,0.5951622841876636
0.07974747474747476,0.007562167975146671,0.41241461539198704,0.5800232166328663
0.08025252525252526,0.007334483952748957,0.4281809980902524,0.5644845179569986
0.08075757575757576,0.007118896807153759,0.44424819938398613,0.5486329038088602
0.08126262626262627,0.006914037795567785,0.4605788210201349,0.5325071411842973
0.08176767676767677,0.006715968738866645,0.47715697661224094,0.5161270546488925
0.08227272727272728,0.006524415919843008,0.493882059750474,0.499593524329683
0.08277777777777778,0.00633957617772165,0.5106514181354397,0.4830090056868387
0.08328282828282829,0.006158001926994157,0.5274333699860088,0.4664086280869971
0.0837878787878788,0.005978655399724027,0.5441432321094458,0.4498781124908302
0.0842929292929293,0.005803000468050774,0.5606287568614928,0.43356824267045635
0.0847979797979798,0.005628648720379502,0.5768176729054428,0.4175536783741777
0.08530303030303031,0.005453681571904262,0.5926639957689299,0.4018823226591658
0.08580808080808082,0.005280391583512009,0.6080149965643176,0.3867046118521704
0.08631313131313131,0.005108015660054138,0.6227456142390656,0.37214637010088025
0.08681818181818182,0.004933803224172056,0.6368487072525529,0.35821748952327503
0.08732323232323233,0.004760204161500608,0.6502403549277596,0.34499944091073986
0.08782828282828284,0.0045885421540234755,0.6627602675784753,0.33265119026750123
0.08833333333333335,0.004415498806719341,0.6744059043137757,0.321178596879505
0.08883838383838386,0.004242728012784298,0.6852164334103586,0.3105408385768571
0.08934343434343435,0.004073844705851029,0.6950550643727762,0.30087109092137276
0.08984848484848486,0.003905529439063057,0.7038625185001027,0.2922319520608342
0.09035353535353535,0.003737449461914227,0.7117916520433285,0.28447089849475726
0.09085858585858586,0.00357531136275604,0.718823869778052,0.27760081885919197
0.09136363636363637,0.003416840005653086,0.7247959293683957,0.2717872306259512
0.09186868686868688,0.0032584775295045844,0.7298625330691247,0.26687898940137067
0.09237373737373739,0.0031072363860122254,0.7342159366411778,0.26267682697281003
0.0928787878787879,0.002963597897988496,0.7376296125883398,0.2594067895136717
0.0933838383838384,0.002819738583759767,0.7400507857460027,0.2571294756702376
0.0938888888888889,0.0026822250783015734,0.7418818699194192,0.2554359050022792
0.0943939393939394,0.0025569435469789807,0.7430330403848594,0.2544100160681616
0.0948989898989899,0.0024315166383736702,0.7430266454383803,0.25454183792324603
0.09540404040404041,0.0023085661527147516,0.7422282736879054,0.25546316015937975
0.09590909090909092,0.0022030695183469676,0.7410338973492754,0.2567630331323777
0.09641414141414142,0.0020995119702615144,0.7385322056938712,0.2593682823358673
0.09691919191919193,0.0019898922332150576,0.7343669558291022,0.26364315193768273
0.09742424242424244,0.0019037344563388224,0.7296723758035618,0.26842388974009934
0.09792929292929294,0.0018283161967115973,0.7236690704017106,0.2745026134015778
0.09843434343434344,0.00173234788396466,0.7139656702689584,0.2843019818470769
0.09893939393939395,0.0016750677853186278,0.7017526558009246,0.2965722764137567
0.09944444444444445,0.0016784995704148477,0.6880523292510324,0.3102691711785527
0.09994949494949495,0.001696252802357667,0.6663062305980556,0.33199751659958676
0.10045454545454546,0.002058886024768292,0.6360550968806588,0.3618860170945729
0.10095959595959597,0.0033765257483309445,0.620913453379187,0.37571002087248206
0.10146464646464648,0.00534597409378303,0.6433517292724343,0.35130229663378265
0.10196969696969699,0.00653586578344713,0.6812892392773675,0.3121748949391854
0.10247474747474748,0.006294005545699242,0.6869213292441302,0.30678466521017056
0.10297979797979799,0.005771508090950832,0.6495372292557656,0.34469126265328354
0.10348484848484849,0.006061104113054922,0.5974138944174864,0.3965250014694587
0.103989898989899,0.006775092330389277,0.5414534483632765,0.4517714593063342
0.1044949494949495,0.007519053113550078,0.4657419620161734,0.5267389848702766
0.10500000000000001,0.008994870945482755,0.3671382242535503,0.6238669048009668
