Parameter,Value
Generation,6
Best Fitness,1.0851164753607003
Genome,"[2, 2, 2, 2, 2, 0, 1, 1, 1, 2, 1, 2, 1, 3, 1, 1, 1, 3]"

Frequency,T,R,L
0.055,0.20139995582789122,0.4034570637112952,0.39514298046081364
0.05550505050505051,0.1805003460321728,0.4132413226283634,0.4062583313394638
0.05601010101010101,0.16403604506576527,0.4219119755354341,0.4140519793988006
0.05651515151515152,0.15139519961823755,0.43004009321052883,0.4185647071712336
0.05702020202020202,0.1419141742804304,0.4381329603832058,0.4199528653363638
0.05752525252525253,0.1349393530661231,0.44662223025880377,0.4184384166750731
0.05803030303030303,0.12986643599331002,0.45585890903645304,0.4142746549702369
0.05853535353535354,0.12616202854276323,0.46611276223753506,0.4077252092197017
0.05904040404040404,0.12337226417581272,0.47757444549063105,0.39905329033355624
0.05954545454545455,0.12112268866521714,0.49035915444537254,0.3885181568894103
0.06005050505050505,0.11911289711384446,0.5045109879580478,0.37637611492810774
0.06055555555555556,0.11710859290842661,0.5200075860238994,0.36288382106767403
0.061060606060606065,0.11493293681100838,0.5367649440225769,0.34830211916641474
0.06156565656565657,0.11245834624759776,0.5546425921869899,0.3328990615654124
0.062070707070707075,0.10959932955894422,0.5734495290491026,0.31695114139195313
0.06257575757575758,0.10630650995882607,0.5929513791449983,0.30074211089617564
0.06308080808080808,0.10256170340092038,0.6128791896435268,0.28455910695555275
0.06358585858585859,0.09837374872777627,0.6329400873114367,0.26868616396078704
0.06409090909090909,0.09377472952725313,0.6528297097396926,0.25339556073305436
0.0645959595959596,0.08881625585872752,0.67224595296861,0.23893779117266245
0.0651010101010101,0.08356556876901555,0.6909032142879359,0.22553121694304856
0.06560606060606061,0.07810136561076608,0.7085460369770915,0.2133525974121424
0.06611111111111112,0.07250939017525085,0.724960956040654,0.20252965378409515
0.06661616161616161,0.06687795860000623,0.7399854414443741,0.19313659995561971
0.06712121212121212,0.06129367494949967,0.753513131278609,0.18519319377189136
0.06762626262626263,0.05583761504183138,0.7654949859900878,0.17866739896808082
0.06813131313131314,0.05058222328943039,0.7759364863519882,0.1734812903585814
0.06863636363636363,0.045589088124116016,0.784891443834804,0.16951946804107998
0.06914141414141414,0.040907658733887416,0.7924533130642019,0.16663902820191068
0.06964646464646465,0.036574863030459426,0.798745050335848,0.1646800866336926
0.07015151515151516,0.032615503333972735,0.8039085503142696,0.16347594635175766
0.07065656565656567,0.02904325337912668,0.8080945496290527,0.16286219699182058
0.07116161616161616,0.025862060231208586,0.8114536636012084,0.16268427616758296
0.07166666666666667,0.023067762854134526,0.814128974595834,0.16280326255003152
0.07217171717171718,0.020649766778396476,0.8162503605008353,0.1630998727207682
0.07267676767676767,0.018592652092801816,0.8179305661670045,0.16347678174019364
0.07318181818181818,0.01687763168332734,0.8192628896868097,0.16385947862986294
0.07368686868686869,0.015483812546522495,0.8203202770722532,0.16419591038122427
0.0741919191919192,0.014389241975452674,0.8211555837265077,0.16445517429803969
0.0746969696969697,0.013571741459839316,0.8218027567492211,0.1646255017909396
0.07520202020202021,0.013009544736325962,0.822278706664712,0.16471174859896198
0.07570707070707071,0.012681763854552794,0.8225856610000257,0.1647325751454215
0.07621212121212122,0.012568709959416825,0.8227138186138225,0.16471747142676063
0.07671717171717173,0.012652095237956774,0.8226441489765024,0.16470375578554086
0.07722222222222222,0.012915140401304448,0.8223512031983388,0.16473365640035675
0.07772727272727273,0.013342609111926635,0.8218058235278101,0.1648515673602633
0.07823232323232324,0.013920787557871378,0.8209776561769826,0.165101556265146
0.07873737373737374,0.014637424291006963,0.8198373898039223,0.1655251859050707
0.07924242424242425,0.015481642660628599,0.8183586597274247,0.1661596976119467
0.07974747474747476,0.016443835732680177,0.8165195764421062,0.1670365878252137
0.08025252525252526,0.017515551462760858,0.8143038561584883,0.16818059237875083
0.08075757575757576,0.018689374038457444,0.8117015503207621,0.16960907564078043
0.08126262626262627,0.01995880568133515,0.808709389405389,0.17133180491327593
0.08176767676767677,0.021318151783393725,0.805330772682707,0.17335107553389928
0.08227272727272728,0.022762411056797476,0.8015754490112994,0.17566213993190316
0.08277777777777778,0.02428717142955825,0.7974589433680539,0.17825388520238783
0.08328282828282829,0.025888511760849546,0.7930017893047965,0.18110969893435402
0.0837878787878788,0.027562909106315904,0.7882286288862572,0.1842084620074269
0.0842929292929293,0.029307151242094587,0.7831672393004712,0.18752560945743424
0.0847979797979798,0.031118254430464558,0.7778475399257637,0.19103420564377172
0.08530303030303031,0.03299338691967083,0.7723006260412507,0.1947059870390785
0.08580808080808082,0.03492979932420891,0.7665578664814209,0.1985123341943702
0.08631313131313131,0.03692476371687695,0.7606500932042485,0.2024251430788746
0.08681818181818182,0.03897552385931278,0.7546069016790504,0.20641757446163678
0.08732323232323233,0.04107925938971856,0.748456072742977,0.21046466786730444
0.08782828282828284,0.043233066883312625,0.7422231194750766,0.2145438136416108
0.08833333333333335,0.04543396044558213,0.7359309568700523,0.2186350826843656
0.08883838383838386,0.047678893876779524,0.729599687685904,0.22272141843731652
0.08934343434343435,0.049964805491188376,0.7232464946984637,0.22678869981034788
0.08984848484848486,0.05228868546422773,0.7168856275476978,0.23082568698807449
0.09035353535353535,0.05464766422915891,0.7105284711780803,0.23482386459276083
0.09085858585858586,0.05703911909263553,0.7041836823122736,0.23877719859509094
0.09136363636363637,0.05946079503266819,0.6978573802065748,0.24268182476075695
0.09186868686868688,0.061910934723386886,0.6915533779024151,0.24653568737419795
0.09237373737373739,0.06438841231185262,0.6852734401402528,0.2503381475478945
0.0928787878787879,0.06689286542663517,0.6790175539407446,0.2540895806326202
0.0933838383838384,0.0694248203494305,0.6727841975679071,0.2577909820826624
0.0938888888888889,0.0719858061982217,0.6665705932505009,0.26144360055127736
0.0943939393939394,0.07457845526849417,0.6603729288257391,0.2650486159057668
0.0948989898989899,0.07720658822481295,0.6541865336464442,0.26860687812874284
0.09540404040404041,0.07987528445670716,0.6480059949722289,0.2721187205710639
0.09590909090909092,0.08259093941032443,0.641825202989857,0.2755838575998185
0.09641414141414142,0.08536131186299402,0.6356373158784814,0.2790013722585246
0.09691919191919193,0.08819556469653421,0.6294346411791804,0.2823697941242854
0.09742424242424244,0.09110430252407337,0.6232084362415248,0.2856872612344018
0.09792929292929294,0.0940996083235782,0.6169486386395193,0.28895175303690246
0.09843434343434344,0.09719507884523855,0.6106435469492895,0.29216137420547195
